Input_file_name_(no_extension),Weather_file_name_(no_extension),External_Interface?
5ZoneElectricBaseboard.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
5ZoneEndUses.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
5ZoneEngChill.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
5ZoneFPIU.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
5ZoneFanCoilDOASCool.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
5ZoneFanCoilDOAS_ERVOnAirLoopMainBranch.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
5ZoneFanCoilDOAS_HumidifierOnOASystem.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
5ZoneGeometryTransform.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
5ZoneIceStorage.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
5ZoneNightVent1.idf,USA_CA_Fresno.Air.Terminal.723890_TMY3,
5ZoneNightVent2.idf,USA_CA_Fresno.Air.Terminal.723890_TMY3,
5ZoneNightVent3.idf,USA_CA_Fresno.Air.Terminal.723890_TMY3,
5ZoneReturnFan.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
5ZoneSteamBaseboard.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
5ZoneSupRetPlenRAB.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
5ZoneSupRetPlenVSATU.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
5ZoneSwimmingPool.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
5ZoneSwimmingPoolZoneMultipliers.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
5ZoneTDV.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
5ZoneVAV-ChilledWaterStorage-Mixed.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
5ZoneVAV-ChilledWaterStorage-Mixed_DCV_MaxZd.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
5ZoneVAV-ChilledWaterStorage-Mixed_DCV_MultiPath.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
5ZoneVAV-ChilledWaterStorage-Stratified.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
5ZoneVAV-Pri-SecLoop.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
5ZoneWLHPPlantLoopTower.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
5ZoneWarmest.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
5ZoneWarmestMultDDSizBypass.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
5ZoneWarmestMultDDSizOnOff.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
5ZoneWarmestMultDDSizVAV.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
5ZoneWarmestMultDDSizVT.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
5ZoneWarmestVFD.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
5ZoneWarmestVFD_FCMAuto.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
5ZoneWaterCooled_Baseboard.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
5ZoneWaterCooled_BaseboardScalableSizing.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
5ZoneWaterCooled_GasFiredSteamHumidifier.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
5ZoneWaterCooled_HighRHControl.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
5ZoneWaterCooled_MultizoneAverageRHControl.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
5ZoneWaterCooled_MultizoneMinMaxRHControl.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
5ZoneWaterLoopHeatPump.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
5ZoneWaterSystems.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
5Zone_IdealLoadsAirSystems_ReturnPlenum.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
5Zone_Transformer.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
5Zone_Unitary_HXAssistedCoil.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
5Zone_Unitary_VSDesuperheatWaterHeater.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
5Zone_Unitary_VSDesuperheater.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
ASIHPMixedTank.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
AbsorptionChiller.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
ActiveTrombeWall.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
AdaptiveThermostatASH55_5Zone_Miami.idf,USA_FL_Miami.Intl.AP.722020_TMY3,
AirCooledElectricChiller.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
AirEconomizerFaults_RefBldgLargeOfficeNew2004_Chicago.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
AirEconomizerWithMaxMinOAFractions.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
AirflowNetwork3zVent.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
AirflowNetwork3zVentAutoWPC.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
AirflowNetworkAdvanced_SingleSided_NV.idf,USA_CA_San.Francisco.Intl.AP.724940_TMY3,
AirflowNetworkOccupantVentilationControl.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
AirflowNetwork_Attic_Duct.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
AirflowNetwork_MultiAirLoops.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
AirflowNetwork_MultiZone_House.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
AirflowNetwork_MultiZone_House_FanModel.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
AirflowNetwork_MultiZone_House_OvercoolDehumid.idf,USA_FL_Miami.Intl.AP.722020_TMY3,
AirflowNetwork_MultiZone_House_TwoSpeed.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
AirflowNetwork_MultiZone_LocalNode.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
AirflowNetwork_MultiZone_SmallOffice.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
AirflowNetwork_MultiZone_SmallOffice_CoilHXAssistedDX.idf,USA_FL_Miami.Intl.AP.722020_TMY3,
AirflowNetwork_MultiZone_SmallOffice_GenericContam.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
AirflowNetwork_MultiZone_SmallOffice_HeatRecoveryHXSL.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
AirflowNetwork_MultiZone_SmallOffice_VAV.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
AirflowNetwork_Multizone_HorizontalOpening.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
AirflowNetwork_PressureControl.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
AirflowNetwork_Simple_House.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
AirflowNetwork_Simple_SmallOffice.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
AirflowWindowsAndBetweenGlassBlinds.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
AirflowWindowsAndBetweenGlassShades.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
ASHRAE9012016_ApartmentHighRise_Denver.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
ASHRAE9012016_ApartmentMidRise_Denver.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
ASHRAE9012016_Hospital_Denver.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
ASHRAE9012016_HotelLarge_Denver.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
ASHRAE9012016_HotelSmall_Denver.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
ASHRAE9012016_OfficeLarge_Denver.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
ASHRAE9012016_OfficeMedium_Denver.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
ASHRAE9012016_OfficeSmall_Denver.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
ASHRAE9012016_OutPatientHealthCare_Denver.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
ASHRAE9012016_RestaurantFastFood_Denver.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
ASHRAE9012016_RestaurantSitDown_Denver.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
ASHRAE9012016_RetailStandalone_Denver.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
ASHRAE9012016_RetailStripmall_Denver.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
ASHRAE9012016_SchoolPrimary_Denver.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
ASHRAE9012016_SchoolSecondary_Denver.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
ASHRAE9012016_Warehouse_Denver.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
BaseBoardElectric.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
CVRhMinHum.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
CentralChillerHeaterSystem_Cooling_Heating.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
CentralChillerHeaterSystem_Simultaneous_Cooling_Heating.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
ChangeoverBypassVAV.idf,USA_FL_Miami.Intl.AP.722020_TMY3,
ChangeoverBypassVAV_AirToAir.idf,USA_FL_Miami.Intl.AP.722020_TMY3,
ChangeoverBypassVAV_AirToAirHeatPump.idf,USA_FL_Miami.Intl.AP.722020_TMY3,
ChangeoverBypassVAV_MaxTemp.idf,USA_FL_Miami.Intl.AP.722020_TMY3,
CarrollMRT-RefBldgLargeOfficeNew2004_Chicago.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
ChillerPartLoadCurve_RefBldgLargeOfficeNew2004_Chicago.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
CmplxGlz_Daylighting_SouthVB45deg.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
CmplxGlz_Daylighting_SouthVerticalVB45deg.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
CmplxGlz_MeasuredDeflectionAndShading.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
CmplxGlz_SchedSurfGains.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
CmplxGlz_SingleZone_Deflection.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
CmplxGlz_SingleZone_DoubleClearAir.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
CmplxGlz_SingleZone_Vacuum.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
CmplxGlz_SmOff_IntExtShading.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
CoilWaterDesuperheating.idf,USA_FL_Miami.Intl.AP.722020_TMY3,
CommonPipe_Pri-Sec.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
CompSetPtControl.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
CondFD1ZonePurchAirAutoSizeWithPCM.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
ConstSpeedBranchPumpExercise.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
Convection.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
ConvectionAdaptiveSmallOffice.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
CoolingCoilFreezingPrevention.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
CoolingTower.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
CoolingTowerDryBulbRangeOp.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
CoolingTowerNomCap.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
CoolingTowerRHRangeOp.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
CoolingTowerWetBulbRangeOp.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
CoolingTowerWithDBDeltaTempOp.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
CoolingTowerWithWBDeltaTempOp.idf,USA_FL_Tampa.Intl.AP.722110_TMY3,
CoolingTower_FluidBypass.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
CoolingTower_MerkelVariableSpeed.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
CoolingTower_SingleSpeed_MultiCell.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
CoolingTower_TwoSpeed.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
CoolingTower_TwoSpeed_CondEntTempReset.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
CoolingTower_TwoSpeed_MultiCell.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
CoolingTower_VariableSpeed.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
CoolingTower_VariableSpeed_CondEntTempReset.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
CoolingTower_VariableSpeed_CondEntTempReset_MultipleTowers.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
CoolingTower_VariableSpeed_IdealCondEntTempSetpoint.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
CoolingTower_VariableSpeed_IdealCondEntTempSetpoint_MultipleTowers.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
CoolingTower_VariableSpeed_MultiCell.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
CooltowerSimpleTest.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
CooltowerSimpleTestwithVentilation.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
CrossVent_1Zone_AirflowNetwork.idf,USA_CA_San.Francisco.Intl.AP.724940_TMY3,
CrossVent_1Zone_AirflowNetwork_with2CrossflowJets.idf,USA_CA_San.Francisco.Intl.AP.724940_TMY3,
CustomSolarVisibleSpectrum_RefBldgSmallOfficeNew2004_Chicago.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
DDAutoSize.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
DElight-Detailed-Comparison.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
DElightCFSLightShelf.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
DElightCFSWindow.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
DOASDXCOIL_wADPBFMethod.idf,USA_FL_Miami.Intl.AP.722020_TMY3,
DOASDXCOIL_wADPBFMethod_NoReturnPath.idf,USA_FL_Miami.Intl.AP.722020_TMY3,
DOASDualDuctSchool.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
DOAToFanCoilInlet.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
DOAToFanCoilSupply.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
DOAToPTAC.idf,USA_FL_Miami.Intl.AP.722020_TMY3,
DOAToPTHP.idf,USA_FL_Miami.Intl.AP.722020_TMY3,
DOAToUnitVentilator.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
DOAToUnitarySystem.idf,USA_FL_Miami.Intl.AP.722020_TMY3,
DOAToVRF.idf,USA_FL_Miami.Intl.AP.722020_TMY3,
DOAToWaterToAirHPInlet.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
DOAToWaterToAirHPSupply.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
DXCoilSystemAuto.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
DaylightingDeviceShelf.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
DaylightingDeviceTubular.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
DesiccantCVRh.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
DesiccantCVRhZoneRHCtrl.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
DesiccantCVRhZoneRHCtrl_AddedAutosize.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
DesiccantDehumidifierWithAirToAirCoil.idf,USA_FL_Miami.Intl.AP.722020_TMY3,
DesiccantDehumidifierWithCompanionCoil.idf,USA_FL_Miami.Intl.AP.722020_TMY3,
DirectIndirectEvapCoolers.idf,USA_AZ_Phoenix-Sky.Harbor.Intl.AP.722780_TMY3,
DirectIndirectEvapCoolersVSAS.idf,USA_AZ_Phoenix-Sky.Harbor.Intl.AP.722780_TMY3,
DisplacementVent_1ZoneOffice.idf,USA_CA_San.Francisco.Intl.AP.724940_TMY3,
DisplacementVent_Nat_AirflowNetwork.idf,USA_CA_San.Francisco.Intl.AP.724940_TMY3,
DisplacementVent_Nat_AirflowNetwork_AdaptiveComfort.idf,USA_CA_San.Francisco.Intl.AP.724940_TMY3,
DisplacementVent_VAV.idf,USA_CA_San.Francisco.Intl.AP.724940_TMY3,
DualDuctConstVolDamper.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
DualDuctConstVolGasHC.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
DualDuctVarVolDamper.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
DualDuctWaterCoils.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
DynamicClothing.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
EMPD5ZoneWaterCooled_HighRHControl.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
EMSAirflowNetworkOpeningControlByHumidity.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
EMSConstantVolumePurchasedAir.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
EMSCurveOverride_PackagedTerminalHeatPump.idf,USA_FL_Miami.Intl.AP.722020_TMY3,
EMSCustomOutputVariable.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
EMSCustomSchedule.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
EMSDemandManager_LargeOffice.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
EMSDiscreteAirSystemSizes.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
EMSPlantLoopOverrideControl.idf,USA_FL_Orlando.Intl.AP.722050_TMY3,
EMSPlantOperation_largeOff.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
EMSReplaceTraditionalManagers_LargeOffice.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
EMSTestMathAndKill.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
EMSThermochromicWindow.idf,USA_NV_Las.Vegas-McCarran.Intl.AP.723860_TMY3,
EMSUserDefined5ZoneAirCooled.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
EMSUserDefinedWindACAuto.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
EMSWindowShadeControl.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
EarthTubeSimpleTest.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
EcoroofOrlando.idf,USA_FL_Orlando.Intl.AP.722050_TMY3,
ElectricChiller.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
ElectricEIRChiller.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
ElectricEIRChillerHeatRecoveryAuto.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
EngineChiller.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
EquivalentLayerWindow.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
EvaporativeFluidCooler.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
EvaporativeFluidCooler_TwoSpeed.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
ExhFiredAbsorptionChiller.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
ExteriorLightsAndEq.idf,USA_CO_Denver-Stapleton_TMY,
FanCoilAutoSize.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
FanCoilAutoSizeScalableSizing.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
FanCoilAutoSize_MultiSpeedFan.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
FanCoil_HybridVent_VentSch.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
Fault_ChillerSWTSensorOffset_RefBldgLargeOfficeNew2004.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
Fault_CoilSATSensorOffset.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
Fault_CondenserSWTSensorOffset.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
Fault_FoulingAirFilter_RefBldgMediumOfficeNew2004.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
Fault_FoulingChillerBoiler_RefBldgLargeOfficeNew2004.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
