Input_file_name_(no_extension),Weather_file_name_(no_extension),External_Interface?
1ZoneDataCenterCRAC_wApproachTemp.idf,USA_CO_Denver-Stapleton_TMY,
1ZoneDataCenterCRAC_wPumpedDXCoolingCoil.idf,USA_CO_Denver-Stapleton_TMY,
1ZoneEvapCooler.idf,USA_CO_Denver-Stapleton_TMY,
1ZoneParameterAspect.idf,USA_CO_Denver-Stapleton_TMY,
1ZoneUncontrolled.idf,USA_CO_Denver-Stapleton_TMY,
1ZoneUncontrolled3SurfaceZone.idf,USA_CO_Denver-Stapleton_TMY,
1ZoneUncontrolledAnnualOutputs.idf,USA_CO_Denver-Stapleton_TMY,
1ZoneUncontrolledCondFDWithVariableKat24C.idf,USA_CO_Denver-Stapleton_TMY,
1ZoneUncontrolledFourAlgorithms.idf,USA_CO_Denver-Stapleton_TMY,
1ZoneUncontrolledResLayers.idf,USA_CO_Denver-Stapleton_TMY,
1ZoneUncontrolledUTF8.idf,USA_CO_Denver-Stapleton_TMY,
1ZoneUncontrolledWithHysteresisPCM.idf,USA_CO_Denver-Stapleton_TMY,
1ZoneUncontrolled_DD2009.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
1ZoneUncontrolled_DDChanges.idf,USA_CO_Denver-Stapleton_TMY,
1ZoneUncontrolled_FCfactor_Slab_UGWall.idf,USA_CO_Denver-Stapleton_TMY,
1ZoneUncontrolled_OtherEquipmentWithFuel.idf,USA_CO_Denver-Stapleton_TMY,
1ZoneUncontrolled_win_1.idf,USA_CO_Denver-Stapleton_TMY,
1ZoneUncontrolled_win_2.idf,USA_CO_Denver-Stapleton_TMY,
1ZoneWith14ControlledHeat-CoolPanels.idf,USA_CO_Denver-Stapleton_TMY,
2ZoneDataCenterHVAC_wEconomizer.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
4ZoneWithShading_Simple_1.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
4ZoneWithShading_Simple_2.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
5ZoneAirCooled.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
5ZoneAirCooledConvCoef.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
5ZoneAirCooledConvCoefPIU.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
5ZoneAirCooledDemandLimiting.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
5ZoneAirCooledDemandLimiting_FixedRateVentilation.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
5ZoneAirCooledDemandLimiting_ReductionRatioVentilation.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
5ZoneAirCooledWithCoupledInGradeSlab.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
5ZoneAirCooledWithDOASAirLoop.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
5ZoneAirCooledWithSlab.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
5ZoneAirCooled_UniformLoading.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
5ZoneAirCooled_AirBoundaries.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
5ZoneAirCooled_AirBoundaries_Daylighting.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
5ZoneAirCooled_VAVBoxMinAirFlowTurnDown.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
5ZoneAirCooled_VRPSizing.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
5ZoneAirCooled_VRPSizing_MaxZd.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
5ZoneAirCooled_ZoneAirMassFlowBalance.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
5ZoneAirCooled_ZoneAirMassFlowBalance_Pressurized.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
5ZoneAutoDXVAV.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
5ZoneBoilerOutsideAirReset.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
5ZoneBranchSupplyPumps.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
5ZoneCAV_MaxTemp.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
5ZoneCAVtoVAVWarmestTempFlow.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
5ZoneCoolBeam.idf,USA_CA_San.Francisco.Intl.AP.724940_TMY3,
5ZoneCoolingPanelBaseboard.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
5ZoneCoolingPanelBaseboardAuto.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
5ZoneCoolingPanelBaseboardTotalLoad.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
5ZoneCoolingPanelBaseboardVarOff.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
5ZoneCostEst.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
5ZoneDDCycOnAny.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
5ZoneDDCycOnOne.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
5ZoneDesignInputCoolingCoil.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
5ZoneDetailedIceStorage.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
5ZoneDetailedIceStorage2.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
5ZoneDetailedIceStorageCubicLinear.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
5ZoneDetailedIceStorageSimpleCtrl.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
5ZoneEconomicsTariffAndLifeCycleCosts.idf,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3,
